"16"$"APPELTANTS Léopold"$"7"$"1"$"0"$"118397"$"1922-03-30"$"Léopold"$"Appeltans"$"Léopold Appeltans"
"17"$"AUGUSTUS Joseph"$"7"$"5"$"0"$"93993"$"1898-11-15"$"Joseph"$"Augustus"$"Joseph Augustus"
"18"$"BADJOU Arnold"$"7"$"34"$"0"$"10349"$"1909-06-25"$"Arnold"$"Badjou"$"Arnold Badjou"
"19"$"BAECKE Marc"$"7"$"15"$"0"$"17181"$"1956-07-24"$"Marc"$"Baecke"$"Marc Baecke"
"15"$"ANOUL Léopold ''Poi"""$"7"$"48"$"20"$"16984"$"1922-08-19"$"Léopold"$"Anoul"$"Léopold Anoul"
"14"$"Philippe Albert"$"7"$"18"$"0"$"4366"$"1967-08-10"$"Philippe"$"Albert"$"Philippe Albert"
"13"$"Emile Andrieu"$"7"$"41"$"5"$"93648"$"1881-02-01"$"Emile"$"Andrieu"$"Emile Andrieu"
"11"$"ADAMS Ferdinand"$"7"$"23"$"9"$"14313"$"1903-05-03"$"Ferdinand"$"Adams"$"Ferdinand Adams"
"12"$"AERNAUDTS Léon"$"7"$"20"$"0"$"93485"$"1918-08-10"$"Leon"$"Aernaudts"$"Leon Aernaudts"
"20"$"BASS Dominique"$"7"$"1"$"0"$"94169"$"1893-02-03"$"Dominique"$"Baes"$"Dominique Baes"
"21"$"BASS Louis"$"7"$"1"$"0"$"94170"$"1899-06-15"$"Louis"$"Baes"$"Louis Baes"
"22"$"BASS Omer"$"7"$"2"$"0"$"94171"$"1889-01-15"$"Omer"$"Baes"$"Omer Baes"
"23"$"BALYU Félix"$"7"$"1"$"0"$"94525"$"1891-08-05"$"Félix"$"Balyu"$"Félix Balyu"
"24"$"BARE Yves"$"7"$"21"$"0"$"94543"$"1938-10-28"$"Yves"$"Baré"$"Yves Baré"
"25"$"BASEGGIO Walter"$"7"$"21"$"1"$"1112"$"1978-08-19"$"Walter"$"Baseggio"$"Walter Baseggio"
"26"$"BASTIJNS Alfons"$"7"$"3"$"0"$"18492"$"1947-01-28"$"Fons"$"Bastijns"$"Fons Bastijns"
"27"$"BASTIN Désiré ,;Dis"""$"7"$"35"$"7"$"94567"$"1900-03-04"$"Désiré"$"Bastin"$"Désiré Bastin"
"28"$"BAUWENS Charles"$"7"$"5"$"0"$"94584"$"0000-00-00"$"Charles"$"Bauwens"$"Charles Bauwens"
"29"$"BECQUEVORT Adolphe"$"7"$"2"$"0"$"94620"$"1891-05-09"$"Adolphe"$"Becquevort"$"Adolphe Becquevort"
"30"$"BEHEYDT Dirk"$"7"$"1"$"0"$"94673"$"1951-10-17"$"Dirk"$"Beheydt"$"Dirk Beheydt"
"31"$"BENSCH Michel"$"7"$"3"$"0"$"94700"$"1925-01-23"$"Michel"$"Bensch"$"Michel Bensch"
"32"$"BERTELS Edward"$"7"$"2"$"0"$"94740"$"1932-10-08"$"Eddy"$"Bertels"$"Eddy Bertels"
"33"$"BERTRAND Alfred"$"7"$"1"$"0"$"73648"$"1919-12-06"$"Alfred"$"Bertrand"$"Alfred Bertrand"
"34"$"BESSEMS Loue"$"7"$"13"$"1"$"94772"$"1892-09-25"$"Louis"$"Bessems"$"Louis Bessems"
"35"$"BETTAGNO Alain"$"7"$"2"$"0"$"72171"$"1968-11-09"$"Alain"$"Bettagno"$"Alain Bettagno"
"36"$"BETTENS Prudent"$"7"$"3"$"0"$"94770"$"1943-07-04"$"Prudent"$"Bettens"$"Prudent Bettens"
"37"$"BEURLET Jacques"$"7"$"3"$"0"$"17675"$"1944-12-21"$"Jacques"$"Beurlet"$"Jacques Beurlet"
"38"$"BEYENS Luc"$"7"$"2"$"0"$"72176"$"1959-03-27"$"Luc"$"Beyens"$"Luc Beyens"
"39"$"BEYERS Karel"$"7"$"1"$"0"$"94804"$"1943-03-12"$"Karel"$"Beyers"$"Karel Beyers"
"40"$"BIERNA Henri"$"7"$"9"$"2"$"256157"$"1905-09-02"$"Henri"$"Bierna"$"Henri Bierna"
"41"$"BLAISE Fernand"$"7"$"1"$"0"$"73661"$"1925-02-07"$"Fernand"$"Blaise"$"Fernand Blaise"
"42"$"BLONDEL Jonathan"$"7"$"1"$"0"$"13225"$"1984-04-03"$"Jonathan"$"Blondel"$"Jonathan Blondel"
"43"$"BODART Gilbert"$"7"$"12"$"0"$"7520"$"1962-09-02"$"Gilbert"$"Bodart"$"Gilbert Bodart"
"44"$"BOCSMAN Gustave"$"7"$"20"$"0"$"95301"$"1899-01-19"$"Gustave"$"Boesman"$"Gustave Boesman"
"45"$"BOFFIN Danny"$"7"$"53"$"1"$"1114"$"1965-07-10"$"Danny"$"Boffin"$"Danny Boffin"
"46"$"BOHEZ Florent"$"7"$"3"$"0"$"95303"$"1941-01-19"$"Florent"$"Bohez"$"Florent Bohez"
"47"$"BOLLEN Maihieu"$"7"$"4"$"2"$"95457"$"1928-12-31"$"Mathieu"$"Bollen"$"Mathieu Bollen"
"48"$"BONHIVERS Georges"$"7"$"1"$"0"$"95474"$"1900-03-02"$"Georges"$"Bonhivers"$"Georges Bonhivers"
"49"$"BOOGAERTS Ferdinand"$"7"$"6"$"0"$"73671"$"1921-02-25"$"Fernand"$"Boogaerts"$"Fernand Boogaerts"
"50"$"BOONE Fernand"$"7"$"8"$"0"$"17581"$"1934-08-01"$"Fernand"$"Boone"$"Fernand Boone"
"51"$"BORKELMANS Vital"$"7"$"22"$"0"$"2774"$"1963-06-01"$"Vital"$"Borkelmans"$"Vital Borkelmans"
"52"$"?OSSAERT Oscar"$"7"$"12"$"0"$"95539"$"1887-11-05"$"Oscar"$"Bossaert"$"Oscar Bossaert"
"53"$"BOURGEOIS Désiré"$"7"$"2"$"0"$"17750"$"1908-12-13"$"Desire"$"Bourgeois"$"Desire Bourgeois"
"54"$"BOUTTIAU Jean"$"7"$"6"$"1"$"73720"$"1889-09-03"$"Jean"$"Bouttiau"$"Jean Bouttiau"
"55"$"BOUTTIAU Paul"$"7"$"4"$"0"$"73443"$"1887-09-10"$"Paul"$"Bouttiau"$"Paul Bouttiau"
"56"$"BRAECKMAN Prosper"$"7"$"8"$"0"$"95588"$"1888-09-25"$"Prosper"$"Braeckman"$"Prosper Braeckman"
"57"$"BRAET Robert"$"7"$"14"$"0"$"17757"$"1912-02-11"$"Robert"$"Braet"$"Robert Braet"
"58"$"BRAGARD Mathieu"$"7"$"7"$"5"$"95604"$"1895-03-10"$"Mathieu"$"Bragard"$"Mathieu Bragard"
"59"$"GRAINE Pierre"$"7"$"46"$"4"$"10342"$"1900-10-26"$"Pierre"$"Braine"$"Pierre Braine"
"60"$"GRAINE Raymond"$"7"$"54"$"26"$"17758"$"1907-04-28"$"Raymond"$"Braine"$"Raymond Braine"
