"1"$"1"$"Qamil Teliti"$"29"$"103920"$"0"
"2"$"1"$"Qamil Teliti"$"67"$"103920"$"0"
"3"$"1"$"Ruzhdi Bizhuta"$"35"$"102198"$"0"
"4"$"1"$"Xhelal Juka"$"60"$"102413"$"0"
"5"$"1"$"Xhelal Juka"$"62"$"102413"$"0"
"6"$"2"$"Pal Mirashi"$"6"$"102613"$"0"
"7"$"2"$"Qamil Teliti"$"8"$"103920"$"0"
"8"$"3"$"Loro Boriçi"$"30"$"82877"$"0"
"9"$"3"$"Loro Boriçi"$"65p"$"82877"$"0"
"10"$"3"$"Pal Mirashi"$"68"$"102613"$"0"
"11"$"4"$"Qamil Teliti"$"55"$"103920"$"0"
"12"$"8"$"Loro Boriçi`"$"13"$"82877"$"0"
"13"$"8"$"Aristidh Parapani"$"65"$"102732"$"0"
"14"$"9"$"Pal Mirashi"$"65"$"102613"$"0"
"15"$"12"$"Qamil Teliti"$"50"$"103920"$"0"
"16"$"13"$"Zihni Gjinali"$"50p"$"102383"$"0"
"17"$"15"$"Pal Mirashi"$"50"$"102613"$"0"
"18"$"17"$"Loro Boriçi"$"21"$"82877"$"0"
"19"$"17"$"Vasif Biçaku"$"56"$"102193"$"0"
"20"$"21"$"Zihni Gjinali"$"2"$"102383"$"0"
"21"$"21"$"Qamil Teliti"$"43"$"103920"$"0"
"22"$"21"$"Skënder Jareçi"$"89"$"102408"$"0"
"23"$"22"$"Zihni Gjinali"$"5"$"102383"$"0"
"24"$"22"$"Lore Boriçi"$"17"$"82877"$"0"
"25"$"23"$"Loro Boriçi"$"12"$"82877"$"0"
"26"$"23"$"Refik Resmja"$"35"$"103631"$"0"
"27"$"24"$"Miço Ndini"$"17"$"102688"$"0"
"28"$"24"$"Kolec Kraja.."$"64"$"102473"$"0"
"29"$"25"$"Kolec Kraja"$"6"$"102473"$"0"
"30"$"29"$"Panajot Pano"$"3"$"97193"$"0"
"31"$"31"$"Mexhit Haxhiu"$"9"$"102392"$"0"
"32"$"35"$"Robert Jashari"$"49"$"102409"$"0"
"33"$"36"$"Medin Zhega"$"77"$"104318"$"0"
"34"$"42"$"Astrit Ziu"$"22"$"104320"$"0"
"35"$"44"$"Medin Zhega"$"55"$"104318"$"0"
"36"$"45"$"Medin Zhega"$"31"$"104318"$"0"
"37"$"46"$"Panajot Pano"$"29"$"97193"$"0"
"38"$"48"$"Ilir Përnaska"$"22"$"103623"$"0"
"39"$"48"$"Ilir Përnaska"$"55"$"103623"$"0"
"40"$"48"$"Panajot Pano"$"60"$"97193"$"0"
"41"$"52"$"Sabah Bizi"$"87"$"102199"$"0"
"42"$"53"$"Ramazan Rragami"$"25p"$"103633"$"0"
"43"$"54"$"Mihal Gjika"$"16"$"102381"$"0"
"44"$"55"$"Panajot Pano"$"67"$"97193"$"0"
"45"$"56"$"Shygyri Ballgjini"$"30"$"100271"$"0"
"46"$"56"$"Ilir Përnaska"$"31"$"103623"$"0"
"47"$"56"$"Ilir Përnaska"$"80"$"103623"$"0"
"48"$"57"$"Sefedin Braho"$"2"$"102202"$"0"
"49"$"57"$"Millan Baçi"$"18"$"100267"$"0"
"50"$"58"$"Ilir Përnaska"$"69"$"103623"$"0"
"51"$"62"$"Muhedin Targaj"$"47p"$"103918"$"0"
"52"$"68"$"Muhedin Targaj"$"81p"$"103918"$"0"
"53"$"70"$"Raşit Çetiner"$"83 "$"-1"$"0"
"54"$"71"$"Muhedin Targaj"$"84p"$"103918"$"0"
"55"$"72"$"Genç Tomori"$"22"$"103924"$"0"
"56"$"73"$"Bedri Omuri"$"72"$"102695"$"0"
"57"$"74"$"Bedri Omuri"$"54"$"102695"$"0"
"58"$"74"$"Agustin Kola"$"76"$"102470"$"0"
"59"$"75"$"Micel Josa"$"69"$"102412"$"0"
"60"$"75"$"Arben Minga"$"86"$"102612"$"0"
"61"$"79"$"Bedri Omuri"$"26"$"102695"$"0"
"62"$"81"$"Shkëlgim Muça"$"28"$"102614"$"0"
"63"$"82"$"Shkëlgim Muça"$"35"$"102614"$"0"
"64"$"89"$"Ylli Shehu"$"33"$"103664"$"0"
"65"$"90"$"Arben Minga"$"19"$"102612"$"0"
"66"$"93"$"Sokol Kushta"$"9p"$"102474"$"0"
"67"$"94"$"Sokol Kushta"$"63"$"102474"$"0"
"68"$"101"$"Edmond Abazi"$"56"$"90388"$"0"
"69"$"102"$"Sokol Kushta"$"36"$"102474"$"0"
"70"$"102"$"Sokol Kushta"$"86"$"102474"$"0"
"71"$"103"$"Hysett Zmijani"$"61"$"8646"$"0"
"72"$"104"$"Altin Rraklli"$"40"$"418"$"0"
"73"$"107"$"Edmond Abazi"$"78"$"90388"$"0"
"74"$"109"$"1 Кера"$"67"$"102463"$"0"
"75"$"110"$"Altin Rraklli"$"89"$"418"$"0"
"76"$"111"$"Sulejman Demollari"$"87"$"102323"$"0"
"77"$"113"$"Sokol Kushta"$"8"$"102474"$"0"
"78"$"116"$"Sokol Kushta"$"41"$"102474"$"0"
"79"$"117"$"Altin Rraklli"$"49"$"418"$"0"
"80"$"119"$"Hysen Zmijani"$"34"$"8646"$"0"
"81"$"121"$"Altin Rraklli"$"58"$"418"$"0"
"82"$"122"$"Sokol Kushta"$"31"$"102474"$"0"
"83"$"122"$"Salvator Kaçaj"$"41"$"102428"$"0"
"84"$"122"$"Sokol Kushta"$"79"$"102474"$"0"
"85"$"124"$"Sokol Kushta"$"7"$"102474"$"0"
"86"$"124"$"Arjan Bellai"$"25"$"9108"$"0"
"87"$"124"$"Rudi Vaгa"$"71"$"428"$"0"
"88"$"125"$"Alban Bushi"$"72"$"9104"$"0"
"89"$"126"$"Altin Rraklli"$"15"$"418"$"0"
"90"$"128"$"Sokol Kushta"$$"102474"$"0"
"91"$"129"$"Anesti Qendro"$"30"$"103628"$"0"
"92"$"129"$"Enkelejd Dobi"$"50"$"9116"$"0"
"93"$"131"$"Ledio Pano"$"60"$"102718"$"0"
"94"$"133"$"Bajrarn Fraholli"$"58"$"102375"$"0"
"95"$"136"$"Bledar Kola"$"62p"$"50629"$"0"
"96"$"136"$"Bledar Kola"$"90p"$"50629"$"0"
"97"$"140"$"Altin Haxhi"$"65"$"9122"$"0"
"98"$"141"$"Kohler"$"57"$"50629"$"0"
"99"$"141"$"Kohler"$$"50629"$"0"
"100"$"141"$"Igli Tare"$"80"$"4441"$"0"
"101"$"141"$"Rudi Vata"$"88"$"428"$"0"
"102"$"142"$"Altin Rraklli"$"14"$"418"$"0"
"103"$"142"$"Altin Rraklli"$"65"$"418"$"0"
"104"$"142"$"Alban Bushi"$"67"$"9104"$"0"
"105"$"142"$"Mahir Haliti"$"87"$"26491"$"0"
"106"$"143"$"llir Shulku"$"84p"$"103906"$"0"
"107"$"145"$"Bledar Kola"$"45p"$"50629"$"0"
"108"$"145"$"Bledar Kola"$"47"$"50629"$"0"
"109"$"146"$"Altin Haxhi"$"56"$"9122"$"0"
"110"$"146"$"Alban Bushi"$"57"$"9104"$"0"
"111"$"148"$"Alban Bushi"$"37"$"9104"$"0"
"112"$"148"$"Igli Tare"$"52"$"4441"$"0"
"113"$"150"$"Rudi Vata"$"48"$"428"$"0"
"114"$"150"$"Orion Bogdani"$"90"$"9121"$"0"
"115"$"152"$"Igli Tare"$"16"$"4441"$"0"
"116"$"155"$"Albalt Sushi"$"29"$"9104"$"0"
"117"$"155"$"Albalt Sushi"$"78"$"9104"$"0"
"118"$"155"$"Devi Muka"$"90"$"9119"$"0"
"119"$"157"$"Altin Rraklli"$"30"$"418"$"0"
"120"$"157"$"Sledar Lola"$$"50629"$"0"
"121"$"158"$"Edınond Dalipi"$"63p"$"102316"$"0"
"122"$"158"$"Rudi Vata"$"86"$"428"$"0"
"123"$"158"$"Roland Zajıni"$"90"$"104298"$"0"
"124"$"159"$"Edvin Murati"$"37"$"9105"$"0"
"125"$"160"$"Vioresiıı Sinaııi"$"23"$"24324"$"0"
"126"$"164"$"Alban Bushi"$"50"$"9104"$"0"
"127"$"164"$"Erviπ Еakaj"$"90"$"6154"$"0"
"128"$"165"$"Rudi Vata"$"44"$"428"$"0"
"129"$"165"$"Erion Bogdani"$"67"$"9121"$"0"
"130"$"165"$"Erion Bogdani"$"90"$"9121"$"0"
"131"$"166"$"Blcdar Kola"$"66"$"50629"$"0"
"132"$"167"$"Aitin Rraklli"$"90"$"418"$"0"
"133"$"168"$"Alban Btıshi"$"59"$"9104"$"0"
"134"$"168"$"Ervin Skala"$"71"$"590"$"0"
"135"$"174"$"lndrit Fortuzi"$"7 "$"26495"$"0"
"136"$"178"$"Igli Tare"$"39"$"4441"$"0"
