"Afghanistan","Afghanistan","3784","217"
"Ägypten","Egypt","68","68"
"Albanien","Albania","1","1"
"Algerien","Algeria","69","69"
"All-Irland","All Ireland","10399","233"
"Amerikanisch Samoa","American Samoa","193","193"
"Andorra","Andorra","2","2"
"Angola","Angola","70","70"
"Anguilla","Anguilla","118","118"
"Antigua & Barbuda","Antigua & Barbuda","119","119"
"Äquatorial-Guinea","Equatorial Guinea","71","71"
"Argentinien","Argentina","58","58"
"Armenien","Armenia","3","3"
"Aruba","Aruba","120","120"
"Aserbaidschan","Azerbaijan","4","4"
"Äthiopien","Ethiopia","72","72"
"Australien","Australia","194","194"
"Bahamas","Bahamas","121","121"
"Bahrain","Bahrain","152","152"
"Bangladesch","Bangladesh","153","153"
"Barbados","Barbados","122","122"
"Belarus","Belarus","56","56"
"Belgien","Belgium","5","5"
"Belize","Belize","123","123"
"Benin","Benin","73","73"
"Bermuda","Bermuda","124","124"
"Bhutan","Bhutan","3785","218"
"Böhmen","Bohemia","3423","211"
"Böhmen-Mähren","Bohemia/Moravia","10403","236"
"Bolivien","Bolivia","59","59"
"Bosnien-Herzegowina","Bosnia-Herzegovina","6","6"
"Botswana","Botswana","74","74"
"Br. Jungfern-Inseln","Br. Virgin Islands","125","125"
"Brasilien","Brazil","60","60"
"Brunei","Brunei","154","154"
"Bulgarien","Bulgaria","7","7"
"Burkina Faso","Burkina Faso","75","75"
"Burundi","Burundi","3143","214"
"Chile","Chile","61","61"
"China","China","155","155"
"Cook-Inseln","Cook Islands","2393","208"
"Costa Rica","Costa Rica","126","126"
"CSSR","CSSR","8","8"
"Curaçao","Curaçao","10402","235"
"Dänemark","Denmark","9","9"
"DDR","GDR","10","10"
"Deutschland","Germany","11","11"
"Djibouti","Djibouti","76","76"
"Dom. Republik","Dom. Republic","127","127"
"Dominica","Dominica","128","128"
"DR Kongo","Congo DR","77","77"
"Ecuador","Ecuador","62","62"
"El Salvador","El Salvador","129","129"
"Elfenbeinküste","Ivory Coast","78","78"
"England","England","12","12"
"Eritrea","Eritrea","79","79"
"Estland","Estonia","13","13"
"Färöer","Faroe Islands","14","14"
"Fidschi","Fiji","195","195"
"Finnland","Finland","15","15"
"Frankreich","France","16","16"
"Franz. Guyana","French Guyana","5387","225"
"Gabun","Gabon","80","80"
"Gambia","Gambia","81","81"
"Georgien","Georgia","17","17"
"Ghana","Ghana","82","82"
"Gibraltar","Gibraltar","18","18"
"Grenada","Grenada","130","130"
"Griechenland","Greece","19","19"
"Großbritannien","Great Britain","11138","238"
"Guadeloupe","Guadeloupe","3211","206"
"Guam","Guam","156","156"
"Guatemala","Guatemala","131","131"
