"""84""","""6""","""84""","""28.10.1987""","""8th EC,Qualifier ""","""Flamurtari,Vlorë; ""","""Ignatius van Swieten""","""Holland""","""15000""","""ALBANIA""","""RОМÂNIA	""","""0""","""1""","""0""","""0""","""Agron Sulaj""","""6""","""ALB""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""100""","""7""","""100""","""01.05.1991""","""9th EC.Qualifier ""","""Qemal Ѕtаfа.Тігапё; ""","""Carlo Longhi""","""Italy""","""10000""","""ALBANIA""","""СZЕСНОЅLОУАКІА	""","""0""","""2""","""0""","""0""","""Bejkush Birce""","""3""","""ALB""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""103""","""7""","""103""","""16.10.1991""","""9th EC.Qualifier ""","""MirijOlomouc; ""","""Michal Listkiewicz""","""Poland""","""2366""","""СZЕСНОЅLОУАКІА""","""ALBANIA	""","""2""","""1""","""2""","""0""","""Bcjkush Віге""","""6""","""ALB""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""109""","""7""","""109""","""11.11.1992""","""15th WC.Qualifier ""","""Qemal Ѕtаfа,Тігапё; ""","""Gerhard Kapi""","""Austria""","""3500""","""АLВАNIA""","""LАТУ""","""1""","""1""","""0""","""1""","""Bcjkush Вігс""","""12""","""ALB""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""117""","""8""","""117""","""14.05.1994""",,"""Tetovn: ""","""Mitko Mitrev""","""Bulgaria""","""6000""","""MACEDOŇIA""","""ALBANIA	""","""5""","""1""","""2""","""0""","""Bejkush Birçe""","""20""","""ALB""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""156""","""10""","""156""","""06.10.1999""","""I 1   EC.Qualifier ""","""OAKA Louis Spyros,AIhína; ""","""Valeı:(in Ivanov""","""Russia""","""8000""","""GREECE""","""A.LBANIA	""","""2""","""0""","""1""","""0""","""Astrit Hali .i""","""22""","""ALB""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""159""","""10""","""159""","""08.02.2000""","""International Tournament ""","""TaQali,Valletta; """,,,"""4500""","""ALBANIA""","""AZERØAI,iAN	""","""1""","""0""","""1""","""0""","""Medin Zhega""","""2""","""ALB""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""161""","""10""","""161""","""26.04.2000""",,"""Goče Delčev.Prilep; ""","""Ivan lobrinov""",""" Вulgaria""","""3000""","""MACEDONiA""","""ALBANIA	""","""1""","""0""","""1""","""0""","""Medin Zhega""","""4""","""ALB""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""217""","""14""","""25""","""16.08.2000""","""17th WC.Qualifier ""","""Kadriorg,Talliiin; ""","""Zoran Arsié""","""Yugoslavia""","""1695""","""ENTONIA""","""ANDORRA	""","""1""","""0""","""0""","""0""","""David Rodrigo""","""14""","""AND""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""233""","""15""","""41""","""30.04.2003""","""12th EC.Qualifier ""","""Comunal,Andorra La Vella; ""","""Ali Aydin""","""Turkey""","""500""","""ANDORRA""","""ESTONIλ	""","""0""","""2""","""0""","""1""","""David Rodrigo""","""30""","""AND""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
