"98"$"141"$"Kohler"$"57"$"0"$"0"
"99"$"141"$"Kohler"$$"0"$"0"
"105"$"142"$"Mahir Haliti"$"87"$"0"$"0"
"116"$"155"$"Albalt Sushi"$"29"$"0"$"0"
"117"$"155"$"Albalt Sushi"$"78"$"0"$"0"
"120"$"157"$"Sledar Lola"$$"0"$"0"
"123"$"158"$"Roland Zajıni"$"90"$"0"$"0"
"125"$"160"$"Vioresiıı Sinaııi"$"23"$"0"$"0"
"127"$"164"$"Erviπ Еakaj"$"90"$"0"$"0"
"157"$"193"$"Agusti Pol Pére"$"61"$"0"$"0"
"165"$"216"$"Jesús Julián Lucendo Hcrcdia"$"57p"$"0"$"0"
"217"$"258"$"Ž.Matuš"$"9"$"0"$"0"
"218"$"258"$"S.Krstulović"$"13"$"0"$"0"
"228"$"265"$"Davor Suker"$"45"$"0"$"0"
"243"$"272"$"Davor Suker"$"44"$"0"$"0"
"244"$"272"$"Davor Suker"$"75"$"0"$"0"
"247"$"274"$"Daver duker"$"32"$"0"$"0"
"248"$"274"$"Daver duker"$"60"$"0"$"0"
"262"$"280"$"Davor Stoker"$"47"$"0"$"0"
"272"$"285"$"Elvis Rrajković"$"6"$"0"$"0"
"286"$"293"$"Davor .Šuker"$"45"$"0"$"0"
"290"$"296"$"Davor Šmіker"$"50"$"0"$"0"
"303"$"304"$"Slaven Нilić"$"11"$"0"$"0"
"335"$"319"$"Davor Suker"$"16"$"0"$"0"
"367"$"344"$"Boško Balaban."$"40"$"0"$"0"
"370"$"347"$". Nico Kovač"$"40"$"0"$"0"
"375"$"350"$"Boris 2 Ivković"$"63"$"0"$"0"
"378"$"354"$"P.D5rdai"$"12"$"0"$"0"
"380"$"356"$"Ivica 01ić"$"73"$"0"$"0"
"385"$"362"$"Srdjan .Andrić"$"72"$"0"$"0"
"400"$"371"$"Ivica O1ić"$"48"$"0"$"0"
"413"$"380"$"pórďur pórбarson"$"7"$"0"$"0"
"417"$"383"$"pórour hórδarson"$"29"$"0"$"0"
"426"$"390"$"hóráur kór~arson"$"33"$"0"$"0"
"427"$"390"$"hóráur kór~arson"$"78"$"0"$"0"
"431"$"394"$"hóráur Eóráarson"$"73"$"0"$"0"
"459"$"418"$"Kári Árvason"$"64"$"0"$"0"
"476"$"441"$"Sjálfsmark"$"9 "$"0"$"0"
"479"$"442"$"Örn Oskarsson"$"89"$"0"$"0"
"489"$"451"$"Teitur P6róarson"$"5"$"0"$"0"
"500"$"457"$"Teitur P6róarson"$"77"$"0"$"0"
"506"$"465"$"Teitur hóróarson"$"55"$"0"$"0"
"509"$"465"$"Guómundur horbjörnsson"$"85"$"0"$"0"
"510"$"465"$"Guómundur horbjörnsson"$"89"$"0"$"0"
"511"$"467"$"Guómundur korbjörnsson"$"18"$"0"$"0"
"512"$"467"$"Guómundur korbjörnsson"$"21"$"0"$"0"
"525"$"490"$"Lkus GuδΡmundsson"$"33"$"0"$"0"
"527"$"491"$"Sigurlás horleifsson"$"90"$"0"$"0"
"532"$"494"$"Teitur hórбarson"$"81"$"0"$"0"
"542"$"503"$"Arnór Guájohnsen"$"23"$"0"$"0"
"559"$"514"$"Sæbjőrn Guómundsson"$"60"$"0"$"0"
"561"$"514"$"Sæbjörn Guómundsson"$"74"$"0"$"0"
"569"$"531"$"Guómundur horbjörnsson"$"36"$"0"$"0"
"580"$"546"$"Ólafur Pöraarson"$"80"$"0"$"0"
"617"$"585"$"Porvaldur Örlygsson"$"71"$"0"$"0"
"640"$"608"$"Guómundur Benediktsson"$"82"$"0"$"0"
"648"$"620"$"Ólafiar Pórbarson"$"40"$"0"$"0"
"649"$"622"$"Ólafur Párbarson"$"6"$"0"$"0"
"652"$"622"$"Amór Guajohnsen"$"45"$"0"$"0"
"657"$"625"$"Alexander Нёgnason"$"38"$"0"$"0"
"668"$"637"$"Brynjar Björn Gninarsson"$"45"$"0"$"0"
"678"$"644"$"Stefán Páróarson"$"73"$"0"$"0"
"699"$"658"$"Brynjar Bjdrn Gunnarsson"$"56"$"0"$"0"
"710"$"663"$"Helgi Sigurósson"$"84 p"$"0"$"0"
"725"$"674"$"Ríkharóur Daбason"$"42"$"0"$"0"
"727"$"676"$"Eyjó!fur Sverrisson"$"45"$"0"$"0"
"729"$"676"$"Еyjólfur Sverrisson"$"74"$"0"$"0"
"792"$"726"$"Voldemars Piade"$"51"$"0"$"0"
"793"$"726"$"Voldemars Piade"$"68"$"0"$"0"
"794"$"726"$"Voldemars Piade"$"86"$"0"$"0"
"809"$"737"$"Eriks Pétersons"$"16"$"0"$"0"
"810"$"737"$"Eriks Pétersons"$"5669"$"0"$"0"
"820"$"747"$"Arnolds1aurinš"$"80"$"0"$"0"
"831"$"753"$"Alberts Šeibelis"$"34"$"0"$"0"
"837"$"756"$"Alberts Šeibelis"$"35"$"0"$"0"
"865"$"774"$"ilja Vestenhans"$"75"$"0"$"0"
"890"$"789"$"Eriks Ranters"$"21"$"0"$"0"
"892"$"790"$"Ilja Vestenmans"$"6"$"0"$"0"
"893"$"790"$"Ilja Vestenmans"$"56"$"0"$"0"
"948"$"852"$"Vitalijs Astatjevs"$"89"$"0"$"0"
"949"$"853"$"Andrejs Sto(eers"$"36"$"0"$"0"
"975"$"882"$"Andrejs Štolcers"$"84"$"0"$"0"
"1016"$"921"$"Juris Laizãns"$"45"$"0"$"0"
"1017"$"921"$"Juris Laizãns"$"56"$"0"$"0"
"1088"$"1129"$"von Pottelbergheog"$$"0"$"0"
"1089"$"1130"$"H.Dirickx"$$"0"$"0"
"1098"$"1183"$"Albert Schaack- Jean Claes"$$"0"$"0"
"1200"$"1494"$"Louis Ripa"$"37"$"0"$"0"
"1220"$"1537"$"Cartiiel Busuttil"$"30"$"0"$"0"
