"""1"""$"""1"""$"""Dodë Tahin"""$"""(1/0) """$"""0"""$"""1"""$$$"""0"""$"""103913"""
"""2"""$"""1"""$"""Xhakomino Pozelli"""$"""(1/0)"""$"""1"""$"""0"""$$$"""0"""$"""103625"""
"""3"""$"""1"""$"""Muhamet Dibra"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102327"""
"""4"""$"""1"""$"""Foto Janku"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102406"""
"""5"""$"""1"""$"""Prenge Gjeloshi"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102379"""
"""6"""$"""1"""$"""Sllave Llambi"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102592"""
"""7"""$"""1"""$"""Bimo Fakja"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102373"""
"""8"""$"""1"""$"""Xhelal Juka"""$"""(1/2)"""$"""0"""$"""0"""$$$"""0"""$"""102413"""
"""9"""$"""1"""$"""Qamil Teliti"""$"""(1/2)"""$"""0"""$"""0"""$$$"""0"""$"""103920"""
"""10"""$"""1"""$"""Loro Boriçi"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""82877"""
"""11"""$"""1"""$"""Vasif Biçaku"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102193"""
"""12"""$"""1"""$"""Ruzhdi Bizhuta"""$"""(1/1) """$"""0"""$"""1"""$$$"""0"""$"""102198"""
"""13"""$"""1"""$"""Pal Mirashi"""$"""(1/0)"""$"""1"""$"""0"""$$$"""0"""$"""102613"""
"""140"""$"""13"""$"""Qemal Voğli"""$"""(3/0)"""$"""0"""$"""0"""$$$"""0"""$"""104104"""
"""141"""$"""13"""$"""Besim Boriçi"""$"""(1/0)"""$"""0"""$"""0"""$$$"""0"""$"""102201"""
"""142"""$"""13"""$"""Sllave Llambi"""$"""(13/0)"""$"""0"""$"""0"""$$$"""0"""$"""102592"""
"""143"""$"""13"""$"""Rexhep Spahiu"""$"""(11/0)"""$"""0"""$"""0"""$$$"""0"""$"""103908"""
"""144"""$"""13"""$"""Xhevdet Shagiri"""$"""(4/0) """$"""0"""$"""1"""$$"""46"""$"""0"""$"""103662"""
"""145"""$"""13"""$"""Skender Jareçi"""$"""(1/0)"""$"""1"""$"""0"""$"""46"""$$"""0"""$"""102408"""
"""146"""$"""13"""$"""Bahri Kavaja"""$"""(9/0)"""$"""0"""$"""0"""$$$"""0"""$"""102461"""
"""147"""$"""13"""$"""Aristidh Parapani"""$"""(12/1)"""$"""0"""$"""0"""$$$"""0"""$"""102732"""
"""148"""$"""13"""$"""Zihni Gjinali"""$"""(3/1)"""$"""0"""$"""0"""$$$"""0"""$"""102383"""
"""149"""$"""13"""$"""Loro Boriçi"""$"""(13/3)"""$"""0"""$"""0"""$$$"""0"""$"""82877"""
"""150"""$"""13"""$"""Qamil Teliti"""$"""(9/5)"""$"""0"""$"""0"""$$$"""0"""$"""103920"""
"""151"""$"""13"""$"""Vasif Biçaku"""$"""(13/0)"""$"""0"""$"""0"""$$$"""0"""$"""102193"""
"""198"""$"""18"""$"""Qemal Vogli"""$"""(6/0)"""$"""0"""$"""0"""$$$"""0"""$"""104104"""
"""199"""$"""18"""$"""Muhamet Dibra"""$"""(15/0)"""$"""0"""$"""0"""$$$"""0"""$"""102327"""
"""200"""$"""18"""$"""Besim Boriçi"""$"""(5/0)"""$"""0"""$"""0"""$$$"""0"""$"""102201"""
"""201"""$"""18"""$"""Rexhep Spahiu"""$"""(16/0)"""$"""0"""$"""0"""$$$"""0"""$"""103908"""
"""202"""$"""18"""$"""Xhevdet Shagiri"""$"""(8/0)"""$"""0"""$"""0"""$$$"""0"""$"""103662"""
"""203"""$"""18"""$"""Sllave Llambi"""$"""(17/0)"""$"""0"""$"""0"""$$$"""0"""$"""102592"""
