"""1"""$"""1"""$"""Qamil Teliti"""$"""29"""$"""103920"""$"""0"""
"""2"""$"""1"""$"""Qamil Teliti"""$"""67"""$"""103920"""$"""0"""
"""3"""$"""1"""$"""Ruzhdi Bizhuta"""$"""35"""$"""102198"""$"""0"""
"""4"""$"""1"""$"""Xhelal Juka"""$"""60"""$"""102413"""$"""0"""
"""5"""$"""1"""$"""Xhelal Juka"""$"""62"""$"""102413"""$"""0"""
"""16"""$"""13"""$"""Zihni Gjinali"""$"""50p"""$"""102383"""$"""0"""
"""20"""$"""21"""$"""Zihni Gjinali"""$"""2"""$"""102383"""$"""0"""
"""21"""$"""21"""$"""Qamil Teliti"""$"""43"""$"""103920"""$"""0"""
"""22"""$"""21"""$"""Skënder Jareçi"""$"""89"""$"""102408"""$"""0"""
"""23"""$"""22"""$"""Zihni Gjinali"""$"""5"""$"""102383"""$"""0"""
"""24"""$"""22"""$"""Lore Boriçi"""$"""17"""$"""82877"""$"""0"""
"""27"""$"""24"""$"""Miço Ndini"""$"""17"""$"""102688"""$"""0"""
"""28"""$"""24"""$"""Kolec Kraja.."""$"""64"""$"""102473"""$"""0"""
"""29"""$"""25"""$"""Kolec Kraja"""$"""6"""$"""102473"""$"""0"""
"""35"""$"""44"""$"""Medin Zhega"""$"""55"""$"""104318"""$"""0"""
"""37"""$"""46"""$"""Panajot Pano"""$"""29"""$"""97193"""$"""0"""
"""44"""$"""55"""$"""Panajot Pano"""$"""67"""$"""97193"""$"""0"""
"""45"""$"""56"""$"""Shygyri Ballgjini"""$"""30"""$"""100271"""$"""0"""
"""46"""$"""56"""$"""Ilir Përnaska"""$"""31"""$"""103623"""$"""0"""
"""47"""$"""56"""$"""Ilir Përnaska"""$"""80"""$"""103623"""$"""0"""
"""55"""$"""72"""$"""Genç Tomori"""$"""22"""$"""103924"""$"""0"""
"""88"""$"""125"""$"""Alban Bushi"""$"""72"""$"""9104"""$"""0"""
"""126"""$"""164"""$"""Alban Bushi"""$"""50"""$"""9104"""$"""0"""
"""128"""$"""165"""$"""Rudi Vata"""$"""44"""$"""428"""$"""0"""
"""129"""$"""165"""$"""Erion Bogdani"""$"""67"""$"""9121"""$"""0"""
"""130"""$"""165"""$"""Erion Bogdani"""$"""90"""$"""9121"""$"""0"""
"""138"""$"""182"""$"""Alban Bushi"""$"""16"""$"""9104"""$"""0"""
"""139"""$"""182"""$"""Florian Myrtaj"""$"""21"""$"""9103"""$"""0"""
"""140"""$"""182"""$"""Florian Myrtaj"""$"""38"""$"""9103"""$"""0"""
"""141"""$"""182"""$"""Mehinet Dragusha"""$"""53"""$"""2217"""$"""0"""
"""142"""$"""182"""$"""Luan Pinari"""$"""86"""$"""26505"""$"""0"""
"""147"""$"""187"""$"""Altin Lala"""$"""23"""$"""828"""$"""0"""
"""148"""$"""187"""$"""Ervin Skela"""$"""85p"""$"""590"""$"""0"""
"""152"""$"""191"""$"""Ardian Aliaj"""$"""13"""$"""9107"""$"""0"""
"""153"""$"""191"""$"""Ardian Aliaj"""$"""59"""$"""9107"""$"""0"""
"""154"""$"""191"""$"""Igli Tare"""$"""43"""$"""4441"""$"""0"""
"""176"""$"""239"""$"""Florijan Matekalo"""$"""46"""$"""78992"""$"""0"""
"""176"""$"""239"""$"""Florijan Matekalo"""$"""46"""$"""78992"""$"""0"""
"""177"""$"""239"""$"""Zvonimir Cimermančić"""$"""70"""$"""78820"""$"""0"""
"""177"""$"""239"""$"""Zvonimir Cimermančić"""$"""70"""$"""78820"""$"""0"""
"""178"""$"""239"""$"""Zvonimir Cimermančić"""$"""82"""$"""78820"""$"""0"""
"""178"""$"""239"""$"""Zvonimir Cimermančić"""$"""82"""$"""78820"""$"""0"""
"""179"""$"""239"""$"""August Lešnik"""$"""84"""$"""78959"""$"""0"""
"""179"""$"""239"""$"""August Lešnik"""$"""84"""$"""78959"""$"""0"""
"""180"""$"""240"""$"""Zvonko Jazbec"""$"""21"""$"""78907"""$"""0"""
"""180"""$"""240"""$"""Zvonko Jazbec"""$"""21"""$"""78907"""$"""0"""
"""189"""$"""248"""$"""Ratko Kacian"""$"""20"""$"""99273"""$"""0"""
"""190"""$"""248"""$"""Franjo Wölfl"""$"""26"""$"""79148"""$"""0"""
"""190"""$"""248"""$"""Franjo Wölfl"""$"""26"""$"""79148"""$"""0"""
"""191"""$"""248"""$"""Zvonimir Cimermančić"""$"""38"""$"""78820"""$"""0"""
"""191"""$"""248"""$"""Zvonimir Cimermančić"""$"""38"""$"""78820"""$"""0"""
"""192"""$"""248"""$"""Franjo Wölfl"""$"""48"""$"""79148"""$"""0"""
"""192"""$"""248"""$"""Franjo Wölfl"""$"""48"""$"""79148"""$"""0"""
"""193"""$"""248"""$"""Branko Pleše"""$"""71"""$"""79055"""$"""0"""
"""194"""$"""248"""$"""Milan Antolković"""$"""86"""$"""78773"""$"""0"""
"""194"""$"""248"""$"""Milan Antolković"""$"""86"""$"""78773"""$"""0"""
"""197"""$"""251"""$"""Franjo Wölfl"""$"""32"""$"""79148"""$"""0"""
"""197"""$"""251"""$"""Franjo Wölfl"""$"""32"""$"""79148"""$"""0"""
"""198"""$"""251"""$"""August Lešnik"""$"""63"""$"""78959"""$"""0"""
"""198"""$"""251"""$"""August Lešnik"""$"""63"""$"""78959"""$"""0"""
"""199"""$"""251"""$"""August Lešnik"""$"""76"""$"""78959"""$"""0"""
"""199"""$"""251"""$"""August Lešnik"""$"""76"""$"""78959"""$"""0"""
"""200"""$"""251"""$"""Milan Antolković"""$"""83"""$"""78773"""$"""0"""
"""200"""$"""251"""$"""Milan Antolković"""$"""83"""$"""78773"""$"""0"""
"""201"""$"""251"""$"""Zvonimir Cimermančić"""$"""88"""$"""78820"""$"""0"""
"""201"""$"""251"""$"""Zvonimir Cimermančić"""$"""88"""$"""78820"""$"""0"""
"""202"""$"""251"""$"""August Lešnik"""$"""90"""$"""78959"""$"""0"""
"""202"""$"""251"""$"""August Lešnik"""$"""90"""$"""78959"""$"""0"""
"""207"""$"""256"""$"""Mirko Kokotović"""$"""2"""$"""78932"""$"""0"""
"""207"""$"""256"""$"""Mirko Kokotović"""$"""2"""$"""78932"""$"""0"""
"""208"""$"""256"""$"""Franjo Wölfl"""$"""82"""$"""79148"""$"""0"""
"""208"""$"""256"""$"""Franjo Wölfl"""$"""82"""$"""79148"""$"""0"""
"""209"""$"""256"""$"""Mirko Kokotović"""$"""86"""$"""78932"""$"""0"""
"""209"""$"""256"""$"""Mirko Kokotović"""$"""86"""$"""78932"""$"""0"""
"""219"""$"""258"""$"""S.Rebac"""$"""17"""$"""99298"""$"""0"""
"""220"""$"""258"""$"""A.Benko"""$"""43"""$"""78794"""$"""0"""
"""221"""$"""258"""$"""S.Rebac"""$"""51"""$"""99298"""$"""0"""
"""222"""$"""259"""$"""Aljoša Asanović"""$"""29"""$"""2976"""$"""0"""
"""222"""$"""259"""$"""Aljoša Asanović"""$"""29"""$"""2976"""$"""0"""
"""223"""$"""259"""$"""Ivan Cvjetković"""$"""33"""$"""11948"""$"""0"""
"""224"""$"""260"""$"""Zlatko Kranjćar"""$"""24"""$"""25375"""$"""0"""
"""225"""$"""260"""$"""Srečko Bogdan"""$"""49"""$"""7319"""$"""0"""
"""311"""$"""308"""$"""Robert Prosinečki"""$"""30"""$"""1099"""$"""0"""
"""311"""$"""308"""$"""Robert Prosinečki"""$"""30"""$"""1099"""$"""0"""
"""312"""$"""308"""$"""Davor Šuker"""$"""77"""$"""1"""$"""0"""
"""312"""$"""308"""$"""Davor Šuker"""$"""77"""$"""1"""$"""0"""
"""328"""$"""315"""$"""Davor Šuker"""$"""46"""$"""1"""$"""0"""
"""328"""$"""315"""$"""Davor Šuker"""$"""46"""$"""1"""$"""0"""
"""346"""$"""327"""$"""Stjepan Tomas"""$"""88"""$"""1097"""$"""0"""
"""350"""$"""331"""$"""Alen Bokšić"""$"""20"""$"""1101"""$"""0"""
"""351"""$"""331"""$"""Mario Stanić"""$"""36"""$"""1102"""$"""0"""
"""351"""$"""331"""$"""Mario Stanić"""$"""36"""$"""1102"""$"""0"""
"""394"""$"""367"""$"""Niko Kovač"""$"""76"""$"""185"""$"""0"""
"""402"""$"""373"""$"""Dado Pršπ"""$"""61"""$"""9212"""$"""0"""
"""414"""$"""380"""$"""Sveinn Teitsson"""$"""16"""$"""119948"""$"""0"""
"""415"""$"""380"""$"""Reynir Póróarson"""$"""35"""$"""119990"""$"""0"""
"""424"""$"""388"""$"""komur Jánsson"""$"""37"""$"""119262"""$"""0"""
"""425"""$"""388"""$"""Rikharáur Jánsson"""$"""55"""$"""119258"""$"""0"""
